ID,Map,Mode,Team1Score,Team2Score
0,0,0,207,250
1,1,1,6,3
2,1,2,3,0
3,2,0,250,203
4,2,0,250,203
5,0,1,0,6
6,5,2,2,3
7,1,0,0,1
8,3,0,204,250
9,1,1,6,2
10,3,2,0,3
11,4,0,198,250
12,1,0,126,250
13,1,1,6,5
14,3,2,3,2
15,3,0,91,250
16,3,1,6,2
17,0,0,167,250
18,3,1,6,4
19,5,2,3,2
20,1,0,250,190
21,1,0,244,250
22,3,1,2,6
23,3,2,0,3
24,3,0,233,250
25,1,1,4,6
26,3,2,3,1
27,0,0,175,250
28,0,0,216,250
29,4,1,6,2
30,5,2,3,2
31,4,0,237,250
32,3,0,6,5
33,2,0,250,120
34,3,1,1,6
35,3,2,0,3
36,4,0,250,240
37,1,1,1,6
38,4,0,250,202
39,0,1,6,3
40,3,2,3,0
41,3,0,250,216
42,3,1,5,6
43,1,2,3,2
44,2,0,169,250
45,5,1,6,3
46,4,0,173,250
47,3,1,6,3
48,5,2,3,1
49,3,0,250,185
50,3,0,250,68
51,4,1,4,6
52,3,2,3,2
53,4,0,250,235
54,3,0,250,246
55,3,1,3,6
56,5,2,2,3
57,1,0,148,250
58,4,0,250,133
59,0,1,6,5
60,1,2,3,0
61,4,0,229,250
62,5,1,6,5
63,5,2,3,0
64,3,0,249,250
65,1,1,6,2
66,0,0,250,207
67,0,1,6,0
68,3,2,3,0
69,1,0,223,250
70,4,1,6,2
71,3,2,3,2
72,0,0,193,250
73,1,1,6,1
74,1,0,218,250
75,1,1,5,6
76,1,2,3,2
77,2,0,250,221
78,0,1,6,3
79,3,0,189,250
80,5,1,6,5
81,5,2,3,1
82,0,0,250,194
83,0,0,222,250
84,5,1,3,6
85,1,2,3,2
86,2,0,248,250
87,0,0,250,239
88,1,1,3,6
89,3,2,2,3
90,3,0,232,250
91,3,0,204,250
92,1,1,6,5
93,3,2,3,2
94,0,0,250,116
95,3,0,250,69
96,5,1,1,6
97,3,2,2,3
98,2,0,229,250
99,4,0,250,117
100,0,1,6,2
101,3,2,3,2
102,3,0,250,191
103,4,1,5,6
104,3,2,2,3
105,4,0,250,212
106,0,1,6,5
107,4,0,82,250
108,3,1,4,6
109,1,2,0,3
110,0,0,250,130
111,5,1,6,2
112,5,2,3,0
113,0,0,245,250
114,5,1,5,6
115,4,2,3,2
116,4,0,250,93
117,1,1,6,1
118,0,0,214,250
119,4,1,6,2
120,3,2,3,0
121,4,0,156,250
122,0,1,6,1
123,2,0,250,197
124,1,1,6,5
125,5,2,1,3
126,0,0,228,250
127,3,1,1,6
128,0,0,228,250
129,5,1,4,6
130,3,2,1,3
131,1,0,206,250
132,1,1,6,2
133,3,2,3,1
134,2,0,211,250
135,3,1,5,6
136,0,0,221,250
137,5,1,6,4
138,3,2,3,1
139,1,0,250,184
140,1,0,250,166
141,0,1,6,2
142,1,2,3,2
143,3,0,250,233
144,5,1,6,1
145,1,2,3,2
146,4,0,146,250
147,4,1,3,6
148,3,2,0,3
149,3,0,111,250
150,1,1,6,1
151,3,2,3,1
152,2,0,211,250
153,3,1,6,0
154,3,0,250,232
155,5,1,3,6
156,3,2,3,2
157,2,0,250,236
158,2,0,250,192
159,1,1,1,6
160,5,2,0,3
161,3,0,250,208
162,5,1,1,6
163,0,0,240,250
164,3,1,3,6
165,3,2,1,3
166,3,0,236,250
167,4,1,6,5
168,5,2,3,1
169,4,0,186,250
170,1,1,6,1
171,2,0,111,250
172,5,1,6,3
173,3,2,3,1
174,1,0,237,250
175,1,1,6,2
176,3,0,186,250
177,0,1,6,5
178,1,2,1,3
179,0,0,172,250
180,1,0,130,250
181,1,1,3,6
182,3,2,0,3
183,3,0,250,191
184,5,1,6,3
185,5,2,1,3
186,0,0,250,182
187,0,0,248,250
188,5,1,6,5
189,3,2,3,1
190,4,0,250,232
191,3,0,230,250
192,3,1,6,1
193,3,2,3,1
194,1,0,250,168
195,3,0,198,250
196,5,1,6,1
197,3,2,2,3
198,4,0,233,250
199,0,0,250,136
200,3,1,2,6
201,1,2,1,3
202,1,0,250,197
203,5,1,5,6
204,0,0,233,250
205,0,1,3,6
206,3,2,1,3
207,3,0,250,191
208,0,1,6,2
209,3,2,2,3
210,2,0,250,161
211,3,0,250,182
212,0,1,2,6
213,5,2,2,3
214,1,0,213,250
215,4,0,237,250
216,3,1,6,4
217,3,2,3,1
218,3,0,250,238
219,4,0,206,250
220,1,1,6,4
221,3,2,0,3
222,3,0,238,250
223,0,0,204,250
224,0,1,6,2
225,3,2,1,3
226,1,0,250,234
227,5,1,4,6
228,3,0,236,250
229,3,1,6,3
230,3,2,3,0
231,4,0,139,250
232,1,1,6,2
233,3,0,199,250
234,3,1,6,4
235,3,2,0,3
236,1,0,210,250
237,3,0,248,250
238,4,1,4,6
239,3,2,2,3
240,4,0,250,231
241,0,1,2,6
242,4,0,250,166
243,0,1,6,4
244,3,2,3,2
245,1,0,250,144
246,5,1,6,3
247,3,2,3,0
248,0,0,241,250
249,5,1,6,2
250,1,2,0,3
251,4,0,250,216
252,1,1,6,3
253,0,0,166,250
254,5,1,6,5
255,5,2,3,2
256,4,0,240,250
257,1,1,6,1
258,1,0,244,250
259,4,1,4,6
260,1,2,3,2
261,3,0,250,131
262,1,1,6,4
263,0,0,250,187
264,4,1,6,2
265,3,2,3,0
266,1,0,250,184
267,5,1,5,6
268,1,2,2,3
269,0,0,219,250
270,4,0,250,165
271,5,1,1,6
272,1,2,3,0
273,3,0,250,191
274,3,0,250,180
275,0,1,2,6
276,3,2,3,1
277,0,0,244,250
278,4,1,6,3
279,0,0,250,153
280,5,1,6,4
281,1,2,1,3
282,1,0,250,199
283,2,0,250,143
284,5,1,3,6
285,3,2,3,0
286,3,0,250,160
287,1,0,250,167
288,0,1,4,6
289,5,2,1,3
290,3,0,250,146
291,1,1,2,6
292,4,0,241,250
293,4,1,1,6
294,3,2,0,3
295,0,0,250,218
296,4,1,1,6
297,5,2,3,1
298,2,0,250,232
299,1,0,250,242
300,3,1,6,2
301,3,2,3,1
302,3,0,214,250
303,0,1,4,6
304,1,2,3,1
305,0,0,191,250
306,1,0,246,250
307,3,1,3,6
308,1,2,2,3
309,4,0,202,250
310,4,1,6,2
311,3,2,1,3
312,2,0,200,250
313,2,0,250,163
314,1,1,6,4
315,3,2,2,3
316,1,0,250,158
317,3,0,250,150
318,1,1,4,6
319,3,2,2,3
320,2,0,250,96
321,0,1,4,6
322,2,0,248,250
323,1,1,6,4
324,3,2,3,2
325,3,0,170,250
326,0,1,6,2
327,3,0,226,250
328,5,1,2,6
329,3,2,0,3
330,0,0,233,250
331,3,1,2,6
332,5,2,3,1
333,4,0,250,102
334,5,1,6,5
